GDPR Sensitive,Notes,Event Code Legacy,Hybride,ActionEventCode Hybride,Status,N/A in V2,Wish list,Stack V2,Stack V1,Action,Capacity,Applications,Actor,Entities,Service,Business Criticity,Activity,API v1 Call,API v1 Note,API v1 Verb,Event tracked since,Criticity of Capacity
No,,,Yes,RefreshToken,,No,No,No,No,Refresh Token,https://www.notion.so/Access-Account-67d66a0d710d4246affbd2e71a832ef5,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/User-5770846e6a374d5e8853386aa7db9e58,https://www.notion.so/User-bf889e3166d74034baf629bfcc86f6f6,https://www.notion.so/Authentification-226960ba42ea4fd4915040eb3a534962,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,,,,2022/11/17,Critical
No,,,No,CancellationEmailSentToApplicant,PO Check,No,No,No,Yes,Send Email Notification to Applicant to inform of upcoming visit cancelled (other Applicant chosen),"https://www.notion.so/Manage-SaaS-Visits-47be559e69304dd0aabf616c2123ac55, https://www.notion.so/Manage-Visits-ed81ab4cab0b4251afa332531aaec3db",https://www.notion.so/Agency-SaaS-ec0b97dca3ae4d2c86e9d96b16a2c9e1,https://www.notion.so/System-e0b952212bc04e8f916b85e089411309,https://www.notion.so/Booking-3f5ab6da13eb42d192d5add126bb0e92,https://www.notion.so/Notification-2fabb137ea274d989be3ae03fdf5f1b2,,"https://www.notion.so/a37139b96ea448588075ceccf988a2c9,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8",,,,,"High,Critical"
No,,,No,CancellationSMSSentToApplicant,PO Check,No,No,No,Yes,Send Notification to Applicant to inform of upcoming visit cancelled (other Applicant chosen),"https://www.notion.so/Manage-SaaS-Visits-47be559e69304dd0aabf616c2123ac55, https://www.notion.so/Manage-Visits-ed81ab4cab0b4251afa332531aaec3db",https://www.notion.so/Agency-SaaS-ec0b97dca3ae4d2c86e9d96b16a2c9e1,https://www.notion.so/System-e0b952212bc04e8f916b85e089411309,https://www.notion.so/Booking-3f5ab6da13eb42d192d5add126bb0e92,https://www.notion.so/Notification-2fabb137ea274d989be3ae03fdf5f1b2,,"https://www.notion.so/a37139b96ea448588075ceccf988a2c9,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8",,,,2022/10/26,"High,Critical"
No,,,Yes,Login,,No,No,Yes,Yes,FG Login,https://www.notion.so/Access-FlatGuide-Account-520e49d563d843d8ae3528173e228a5c,https://www.notion.so/FlatGuide-App-c90e959f40264e73b351781212bcc703,https://www.notion.so/Flat-Guide-d466759d44bf4efe995c7eeb0f3a29ca,https://www.notion.so/User-bf889e3166d74034baf629bfcc86f6f6,https://www.notion.so/Authentification-226960ba42ea4fd4915040eb3a534962,,https://www.notion.so/06d960d8394a4c2a84832d0c97ea07f5,/public/login,,POST,,Critical
No,,,Yes,Login,,No,No,Yes,Yes,Login,https://www.notion.so/Access-Account-67d66a0d710d4246affbd2e71a832ef5,https://www.notion.so/Website-6e090281586f4d628bf6178455f558a2,https://www.notion.so/Agency-Collaborator-1f0f9050687a4c69b82c2ad25bea34e6,https://www.notion.so/User-bf889e3166d74034baf629bfcc86f6f6,https://www.notion.so/Authentification-226960ba42ea4fd4915040eb3a534962,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,/business/login,,POST,,Critical
No,,,Yes,Login,,No,No,Yes,Yes,Ops Login,https://www.notion.so/Access-Account-67d66a0d710d4246affbd2e71a832ef5,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Ops-Staff-1c01b58121fd4b23901c1a4bfa539ffe,https://www.notion.so/User-bf889e3166d74034baf629bfcc86f6f6,https://www.notion.so/Authentification-226960ba42ea4fd4915040eb3a534962,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,/business/login,,POST,,Critical
No,,,Yes,Login,,No,No,Yes,Yes,CSM Login,https://www.notion.so/Access-Account-67d66a0d710d4246affbd2e71a832ef5,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/CSM-Staff-9b04a1191a2e47a6bb0e00e76275e136,https://www.notion.so/User-bf889e3166d74034baf629bfcc86f6f6,https://www.notion.so/Authentification-226960ba42ea4fd4915040eb3a534962,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,/business/login,,POST,,Critical
No,,,Yes,Login,,No,No,Yes,Yes,C-Level Login,https://www.notion.so/Access-Account-67d66a0d710d4246affbd2e71a832ef5,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/C-Level-2cd428e9ee88421d9582aa74ce7bd7e8,https://www.notion.so/User-bf889e3166d74034baf629bfcc86f6f6,https://www.notion.so/Authentification-226960ba42ea4fd4915040eb3a534962,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,/business/login,,POST,,Critical
No,,,Yes,Login,,No,No,Yes,Yes,Marketing Login,https://www.notion.so/Access-Account-67d66a0d710d4246affbd2e71a832ef5,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Marketing-Staff-d75e47f013e74408bd16d448834c6c94,https://www.notion.so/User-bf889e3166d74034baf629bfcc86f6f6,https://www.notion.so/Authentification-226960ba42ea4fd4915040eb3a534962,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,/business/login,,POST,,Critical
No,,,Yes,Login,,No,No,Yes,Yes,Sales Login,https://www.notion.so/Access-Account-67d66a0d710d4246affbd2e71a832ef5,https://www.notion.so/Admin-App-45413f4fa44645aa88e4681b0ece1425,https://www.notion.so/Sales-Staff-cea12272506b498da5c145d4dd10cb0a,https://www.notion.so/User-bf889e3166d74034baf629bfcc86f6f6,https://www.notion.so/Authentification-226960ba42ea4fd4915040eb3a534962,,https://www.notion.so/80d3cceaf60c491c9380cc07f63b99a8,/business/login,,POST,,Critical
